Timestamp,HeartRate_BPM,Respiration_BPM
2025-05-31 18:11:06,72.9,17.9
2025-05-31 18:23:39,85.4,23.6
2025-05-31 18:24:39,101.0,16.2

2025-05-31 18:30:55,96.0,17.0
2025-05-31 18:31:55,96.3,17.2
2025-05-31 18:32:55,64.4,24.0
2025-05-31 18:33:55,100.2,16.6
2025-05-31 18:34:55,91.4,22.2
2025-05-31 18:35:55,83.2,17.7
